,av,maxdd,net,pf,sharpe,sortino,trades,winrate
dump_BSX_300,0.02256547619047633,0.3815999999999926,3.7910000000000235,2.2098678751515974,0.23620987659785395,0.2743065999229684,168.0,0.6726190476190477
dump_CROX_300,0.054972677595628475,1.8918000000000008,10.060000000000011,1.867585421805198,0.2064485888015662,0.3134364429272571,183.0,0.5956284153005464
dump_DHI_300,0.04706272189349116,1.5000000000000107,7.953600000000005,1.9185886700929706,0.2235439280522889,0.2661382737137713,169.0,0.621301775147929
dump_ERJ_300,0.057902439024390163,1.9100000000000072,11.869999999999983,1.84489397897374,0.19671277587519478,0.1990847852494856,205.0,0.6536585365853659
dump_GPS_300,0.048992817679558244,1.5936999999999948,8.867700000000042,1.8435466686960198,0.21656058808297296,0.29612154814608743,181.0,0.6243093922651933
dump_GT_300,0.04267682926829251,1.2881999999999998,6.998999999999972,1.8028677946658958,0.1943633008976763,0.27229817757948194,164.0,0.5914634146341463
dump_LNG_300,0.04793812154696127,1.2899999999999991,8.67679999999999,1.872294437574767,0.2111597690777011,0.24633732444826126,181.0,0.6464088397790055
dump_SQNM_300,0.057446629213483126,1.7040000000000006,10.225499999999997,2.1608673440426815,0.22140062866876956,0.32407621070782505,178.0,0.6123595505617978
dump_SWN_300,0.12937732558139534,3.2899999999999956,22.252899999999997,1.9791824342163147,0.22626707090697104,0.3415372411723494,172.0,0.6337209302325582
dump_TVIX_300,0.2787178343949043,8.836400000000019,43.75869999999997,1.8888949829569213,0.16932079933928343,0.16913755633403735,157.0,0.6687898089171974
dump_ZION_300,0.09296631578947369,7.707600000000003,26.4954,1.8831181817272744,0.09384318540632143,0.21599434854880287,285.0,0.5964912280701754
